ID;Art. Nr.;Serie;Artikel;Unsere Preis;Original Preis;Kurzbeschreibung;Beschreibung;Jahrgang;Herkunft;Region;Traubensorte;Farbe;Trinktemperatur;Past gut zu;Alkohol;Raritäten;Inhalt;Charakter
;IT1142;108;VINO SPUMANTE EXTRA DRY SERGIO MIONETTO;12,5;16,5;VINO SPUMANTE EXTRA DRY SERGIO MIONETTO;;;Italien;Venetien;Prosecco;Schaumwein;;Aperitif;11%;ja;0.75 cl;
;IT1143;108;MOSCATO PLATINA SPUMANTE DOLCE;7,5;9,9;MOSCATO PLATINA SPUMANTE DOLCE;;;Italien;Piemont;Moscato Bianco;Schaumwein;;Aperitif;7%;;0.75 cl;
;IT1144;108;PROSECCO DI VALDOBBIADENE VILLA ANTONINI BRUT;10,5;14,95;PROSECCO DI VALDOBBIADENE VILLA ANTONINI BRUT;;;Italien;Venetien;Prosecco;Schaumwein;;Aperitif;11,5%;ja;0.75 cl;
;IT1145;108;PROSECCO DI VALDOBBIADENE VILLA ANTONINI EXTRA DRY;10,5;14,95;PROSECCO DI VALDOBBIADENE VILLA ANTONINI EXTRA DRY;;;Italien;Venetien;Prosecco;Schaumwein;;Aperitif;11,5%;ja;0.75 cl;
;IT1146;108;PROSECCO DI VALDOBBIADENE SUPERIORE DOCG EXTRA DRY;12,5;18,9;PROSECCO DI VALDOBBIADENE SUPERIORE DOCG EXTRA DRY;;;Italien;Venetien;Prosecco;Schaumwein;;Aperitif;11,5%;ja;0.75 cl;
;IT1147;108;PROSECCO D.O.C. VAL DE BRUN CUVÉE;10,5;;PROSECCO D.O.C. VAL DE BRUN CUVÉE;;;Italien;Venetien;Prosecco;Schaumwein;;Aperitif;11%;ja;0.75 cl;
;IT1148;108;PROSECCO D.O.C. TREVISO ANTONINI CERESA;10,5;;PROSECCO D.O.C. TREVISO ANTONINI CERESA;;;Italien;Venetien;Prosecco;Schaumwein;;Aperitif, Fischgerichte;11%;ja;0.75 cl;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;Artikel;Unsere Preis;Original Preis;Kurzbeschreibung;Beschreibung;Jahrgang;Herkunft;Region;Traubensorte;Farbe;Trinktemperatur;Past gut zu;Alkohol;Raritäten;Inhalt;Charakter
